description,reaction,T,I,pH,pMg,standard_dg_prime,std,n,SEM,type,nontrans_standard_dg_prime,nontrans_std,all standard_dg_prime,all nontrans_standard_dg_prime
"-D-glucose(aq) + NAD(aq) = D-glucono-1,5-lactone(aq) + NADH(aq)",[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC([H])([H])[C@@]1([H])OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,-5.596894091911616,3.2463938587140393,2,2.29554711189906,reaction dg,-4.793820237418651,2.868359127619828,"[-3.301346980012556, -7.892441203810676]","[-2.765584047400341, -6.822056427436961]"
-D-melibiose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),[H]OC1([H])O[C@]([H])(C([H])([H])O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]O[H] = [H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-10.724202306163638,1.1027346163878802,3,0.6366641276162613,reaction dg,-10.724105237210958,1.102737436457884,"[-11.922889091603, -9.752856054597533, -10.496861772290384]","[-11.922795481756115, -9.752757256091957, -10.496762973784808]"
-gentiobiose(aq) + H2O(l) = 2 D-glucose(aq),[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(OC([H])([H])[C@@]2([H])O[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = 2.0 [H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-7.2411578426887795,0.3832753968678623,6,0.15647152554816343,reaction dg,-7.241061401493005,0.3832755644195891,"[-6.755568706485155, -6.951230477003716, -7.119716385973052, -7.2913912533195955, -7.525051823458738, -7.803988409892417]","[-6.755472036903347, -6.951133903923105, -7.1196199004858185, -7.291294856910433, -7.5249555190965784, -7.803892191638743]"
"1,2-propanediol(aq) + NADP(aq) = L-lactaldehyde(aq) + NADPH(aq)",[H]OC([H])([H])C([H])(O[H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]O[C@]([H])(C([H])=O)C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,32.045844649351906,0.02520204664740129,4,0.012601023323700646,reaction dg,19.3699805067098,3.912388186460612,"[32.07114817953715, 32.055691912579846, 32.044858452354006, 32.011680052936626]","[24.08541848194969, 20.650698836038483, 17.798051717719556, 14.94575299113147]"
1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole = Fumarate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1nc([H])n([C@]2([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]2([H])O[H])c1N([H])[H] = [H]OC(=O)/C([H])=C(\[H])C(=O)O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc(C(=O)N([H])[H])c2N([H])[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,15.702759332872649,,1,,reaction dg,15.656983478326271,,[15.702759332872649],[15.656983478326271]
1--D-galactosyl-myo-inositol(aq) + raffinose(aq) = myo-inositol(aq) + stachyose(aq),[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H] + [H]OC([H])([H])[C@@]1(O[C@@]2([H])O[C@]([H])(C([H])([H])O[C@@]3([H])O[C@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]3([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] = [H]O[C@]1([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]OC([H])([H])[C@@]1(O[C@@]2([H])O[C@]([H])(C([H])([H])O[C@@]3([H])O[C@]([H])(C([H])([H])O[C@@]4([H])O[C@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]4([H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]3([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-3.475038719662791,0.05702358201811847,2,0.04032176153255884,reaction dg,-3.475040017404382,0.057021616205565555,"[-3.4347169581302324, -3.51536048119535]","[-3.4347196459112097, -3.515360388897554]"
1-butanol(aq) + NAD(aq) = butanal(aq) + NADH(aq),[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,23.072675673796454,,1,,reaction dg,15.658521717412922,,[23.072675673796454],[15.658521717412922]
1-octanol(aq) + NAD(aq) = octanal(aq) + NADH(aq),[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,24.29284846219232,,1,,reaction dg,16.878694507518073,,[24.29284846219232],[16.878694507518073]
1-phospho--D-glucuronate(aq) + UTP(aq) = UDP-D-glucuronate(aq) + pyrophosphate(aq),[H]OC(=O)[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c([H])c(=O)n([H])c2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] = [H]OC(=O)[C@@]1([H])O[C@]([H])(OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]([H])(n3c([H])c([H])c(=O)n([H])c3=O)[C@]([H])(O[H])[C@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1.1862095285395453,,1,,reaction dg,2.7177119469011233,,[-1.1862095285395453],[2.7177119469011233]
10-Formyltetrahydrofolate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide = Tetrahydrofolate + 1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N(C([H])=O)C([H])([H])[C@]2([H])N([H])c3c(nc(N([H])[H])n([H])c3=O)N([H])C2([H])[H])c([H])c1[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc(C(=O)N([H])[H])c2N([H])[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] = [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N([H])C([H])([H])[C@]2([H])N([H])c3c(nc(N([H])[H])n([H])c3=O)N([H])C2([H])[H])c([H])c1[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc(C(=O)N([H])[H])c2N([H])C([H])=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,9.257122299043294,,1,,reaction dg,9.24080714622446,,[9.257122299043294],[9.24080714622446]
"2 7,8-dihydrofolate(aq) = folate(aq) + 5,6,7,8-tetrahydrofolate(aq)",2.0 [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N([H])C([H])([H])C2=Nc3c(nc(N([H])[H])n([H])c3=O)N([H])C2([H])[H])c([H])c1[H] = [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N([H])C([H])([H])c2nc3c(=O)n([H])c(N([H])[H])nc3nc2[H])c([H])c1[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N([H])C([H])([H])[C@]2([H])N([H])c3c(nc(N([H])[H])n([H])c3=O)N([H])C2([H])[H])c([H])c1[H],298.15,0.25,7.0,14.0,-7.2717830331004265,,1,,reaction dg,-7.2729148706923965,,[-7.2717830331004265],[-7.2729148706923965]
2 ADP(aq) = AMP(aq) + ATP(aq),2.0 [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,2.2083293394909496,2.228565653445175,326,0.12342883585532091,reaction dg,1.4460080221873124,1.3713350244078306,"[4.705851486117609, 1.0759057813558954, 3.0226735222680077, 1.5733005747852122, 1.7376333519893221, 0.3722072308176066, 0.6160166641221037, -0.2133507351893622, -0.27059313836950083, -0.5879796185568523, -0.012011482826114528, 0.7769351954790805, 1.176419749852097, 2.8779450980515637, 2.1559580857889786, 2.0692458411573913, 2.1559580857889786, 2.245928780697727, 2.114760914774614, 2.245928780697727, 2.367616817692541, -0.19396175071128396, 2.0196679521189775, 2.0196679521189775, 0.4626722959278064, 2.618644755615323, 1.86298298243805, 2.245928780697727, 1.8768108928583414, 2.8019219985967965, -0.45208349527659253, 1.6815932704231278, 2.20316824260655, 0.854088944124604, 0.854088944124604, -0.5209954885342316, 2.599814830272323, 1.8768108928583414, 1.458023098022009, 2.1559580857889786, 3.052699326346437, 2.099492893864863, 2.0443285871801864, 0.22397870299926126, 1.21017793893351, 1.9581182362742633, 0.2799627281564617, 0.2399966875895159, 0.2529267554640868, 0.6123486812607375, 0.6248156443136591, 0.7778729257236756, 0.3532778925752004, 0.9466969056510746, 2.9972563625288657, 0.4676244550102191, 0.4844437642577401, 0.3924778345346811, 1.3934436338013048, 1.9432047926822333, 0.2720849436228838, 0.8252390284637251, 2.8614811099148096, 3.7354531192580525, 4.792649727120104, 5.097799867681964, 5.350838611114709, 6.002211680878968, 6.375491570437498, 6.607609208452801, 4.726915686397112, 4.456975346236217, -0.1631811013082256, -0.28647153607187925, -1.260404538212625, -0.9420570487077077, -1.0785405472719911, 0.16621555649094066, -0.0012553728412261211, 1.119366192959692, 2.0569903346659446, 2.7055446713125715, 2.2054449862667393, 2.2054449862667393, 1.9261295909432348, 1.9802136265767079, 1.869930182816244, 4.456975346236331, 3.9612418930695794, 3.210596505352938, 5.767415042028797, 6.9941728898308035, 2.3164305968230194, 2.7193220552847084, 1.9462730067754368, 3.9004501327581163, 3.033116519967757, 2.960997559293491, 4.5114838312198895, 4.2249408715187915, 0.11365396030240671, 0.3321625607483337, 0.0035190953853141416, 0.6305831414322721, 0.6305831414322721, 1.6361654869694169, 2.1868021104967372, 1.7958695557092268, 2.6111902840977583, 2.624451474543277, 2.9865140206624536, 2.851745826269435, 2.950864103449703, 2.1868021104966235, 2.2699010321669024, 3.99110511733672, 5.404702178114941, 4.276203938148862, -0.6442271878216381, 1.820847307462985, 2.876156137022496, 6.416109307973672, 0.08168414254073308, 2.4244314163884253, 4.061341752926557, 4.061341752926557, 2.861481109914696, 1.4164973858251644, 5.967799648528227, 1.5284889059428646, -0.1602275170702685, 1.8149773097973732, 3.7987151049385517, 6.674879218463811, 5.8501635066068465, 3.1951105769604053, 0.034489829904287506, 2.5545314483077934, 3.429402176467096, -0.2768309538695346, 2.669175188900904, 3.9605167473387417, -1.2441150219416848, 2.2204609504112174, 4.792649727120104, 4.668201410359109, 4.668201410359109, 7.211103685663771, 2.269901032167016, 0.47688261295237677, 2.976275880061072, 2.775210737032416, 4.095684989402018, 1.8699301828163577, 4.717600121369469, 2.4608028251674914, 1.6425872703722482, 2.1098457503534336, 2.4608028251674914, 4.927101746718581, 5.237209266524715, 3.874399885945598, 1.9295752460604012, 3.2464481729040138, 4.178162648123096, 5.077306916283458, 4.927101746718581, 4.021628927224697, 3.8582185347190103, 5.16145569730287, 4.802078998555789, 5.325707197164574, 5.493692514879999, 4.91864758854513, 5.0309474880696845, 3.651197641436228, 3.8700694980809733, 4.402930919210314, 1.8624409905749701, 2.0167010175748996, 5.144958537001517, 4.578854352508577, 4.6432387030383575, 4.469601873603524, -0.30866266463775016, 1.3196923601442023, 1.7377227063731255, 3.7058328517884083, 3.7977007320314167, 5.250106982122402, 5.250106982122402, 2.8625293560181277, 4.8598574918411295, 0.16888071388465078, 5.5639408020858525, 4.690378745153384, 5.740220784085458, 5.167968632455914, 4.477233153745631, 5.984540758179694, 4.609802455214585, 4.348701038496136, 4.677029520744673, 5.897357819243292, 2.099207598352017, 4.896174112310308, 3.0000372389195196, 4.822050258855706, 0.9113249666763379, 4.508088552147658, -2.1619521366908407, 3.6781066989765443, 3.0826012529046656, 2.632391624407666, 4.464469751714105, 5.625057468470482, 2.226675388853771, 3.303882034957728, 3.8166093444541658, 3.1907637917783087, 5.435016299735862, 4.0630524626874776, 4.868963505662084, 3.5899074482588675, 1.216594400788528, 5.725859893102259, 4.119353281335076, 1.7173598229556049, 1.8185014783618438, 3.153933491984418, 2.7158792107886307, 3.1951105769604053, -1.5143615975795175, -0.7569640323289497, -0.19770313003816176, -0.4377468952341603, 1.7932945128352042, 1.5620150922341451, 5.237628924313355, 5.171948349222617, 1.8735593133243988, 2.557004306841386, 0.006881875804663706, 0.9419917565711812, -3.1032093859888557, -2.5839015165541896, -3.248938202135358, -3.0516865623386003, 1.675001584529594, 1.0509473837073444, -2.8092335625872327, 3.4725275700806275, -2.3413490598882896, 1.3427481713305667, -2.271114117461522, -0.519219743281397, 1.1261072365190326, 1.1261072365190326, -2.9213301925423716, 1.8670317720716654, -2.395577238631578, 5.107936790999423, -1.5137441036362156, 2.1796401690151646, 1.8329265534071113, 1.3207464899947592, 1.8176345717491453, 4.149385941761212, 2.8307514602753168, 0.9201228158107793, 1.6860001616392037, 1.8776721254886573, 1.0423205544813174, 2.6905912583133564, 1.4249561559917083, 2.937908766247447, 3.498773021263983, 0.6961349716139702, 2.5423300876712793, 0.6504041329388136, 1.8363773945744057, 1.0722233062473363, 2.6646663132249993, -1.5198820004177502, 1.4830403727973187, 3.629044568899931, 4.676598334611176, -3.1413647275785426, -0.5018542743134304, 2.4517058443930058, 3.767193065125676, 7.143536479663845, 6.990948196325592, 1.9816242195952993, 3.531768037786472, 4.865801637716517, 3.3508874680550966, 4.084558423966637, -1.856641386849402, 1.3482546841938639, 6.153494487375795, -0.62871987031285, -0.5619738731690775, -2.951348966943498, -3.57482224524484, -3.2607299291143863, -1.2115016939484353, -2.382245317929236, -1.4577795685000305, -2.1112911620396435, 0.8252390284637251, 0.7778729257236756, 0.3532778925752004, 0.9466969056510746, 0.3924778345346811, 0.2799627281564617, 0.4676244550102191, 0.2529267554640868, 1.3934436338013048, 0.2720849436228838, 0.6248156443136591, 0.4844437642577401, 2.9972563625288657, 0.6123486812607375, 1.9432047926822333, 0.2399966875895159]","[3.0330199952969967, 1.9916750265142398, 2.720934358513034, 1.2715614110302387, 1.4358941882343486, 0.07046806706263303, 0.31427750036713004, -0.5150898989443358, -0.5723323021244744, -0.8897187823118259, -0.3137506465810881, 0.47519603172410696, 0.8746805860971234, 2.57620593429659, 1.8542189220340053, 1.7675066774024175, 1.8542189220340053, 1.9441896169427533, 1.8130217510196402, 1.9441896169427533, 2.0658776539375676, -0.4957009144662575, 1.717928788364004, 1.717928788364004, 0.16093313217283284, 2.3169055918603494, 1.5612438186830764, 1.9441896169427533, 1.5750717291033678, 2.500182834841823, -0.7538226590315661, 1.3798541066681542, 1.9014290788515766, 0.5523497803696304, 0.5523497803696304, -0.8227346522892052, 2.2980756665173496, 1.5750717291033678, 1.1562839342670355, 1.8542189220340053, 2.7509601625914635, 1.7977537301098896, 1.7425894234252128, -0.0, -0.21709682719459755, 0.530843470146156, 0.05206937699533318, 0.04681484612333111, 0.09449579179617595, 0.1430754886442678, 0.18981265253987348, 0.27441586673632457, -0.15017916641215062, 0.44323984666372357, 2.4937993035415147, -0.03583260397713198, 0.04944077248395447, -0.11097922445266997, 0.8899865748139538, 1.4397477336948823, 0.04419159246175532, 0.3559658358472554, 1.678031592442228, 2.5520036017855845, 3.6092002096476357, 3.9143503502094963, 4.167389093642354, 4.818762163406387, 5.192042052964917, 5.424159690980219, 2.1671032348074473, 1.8971628946465533, 1.7674145859772352, 1.6441241512136953, 0.6701911490728358, 0.9885386385778668, 0.8520551400135835, 2.096811243776629, 1.929340314444462, 3.0499618802453803, 3.9875860219514054, 1.5220951538401033, 1.0219954687942716, 1.0219954687942716, 0.7426800734708805, 0.7967641091042399, 0.6864806653437762, 1.8971628946465533, 1.401429441479915, 0.6507840537631602, 3.2076025904391328, 4.434360438241253, 1.1329810793504378, 1.5358725378123539, 0.7628234893030824, 2.7170006152856483, 1.849667002495289, 1.777548041821023, 3.3280343137475357, 3.0414913540462103, -1.0697955571699476, -0.8512869567240205, -1.1799304220871538, -0.5528663760401958, -0.5528663760401958, 0.4527159694969489, 1.0033525930242693, 0.6124200382367588, 1.427740766625404, 1.441001957070923, 1.8030645031900996, 1.6682963087969669, 1.7674145859772352, 1.0033525930242693, 1.0864515146944345, 2.807655599864252, 4.221252660642359, 3.0927544206762807, 1.2863684994639364, 3.751442994748446, 1.692706619550028, 5.23265979050109, -1.1017653749316212, 1.2409818989160712, 2.8778922354542025, 2.8778922354542025, 1.678031592442228, 3.347093073110625, 4.784350131055645, 0.3450393884702828, -1.3436770345426228, 0.6315277923249052, 2.6152655874660837, 5.49142970099123, 3.290351055017182, 2.011661059488051, -1.1489596875681805, 1.3710819308354392, 0.8695897248774317, 1.65376473341604, 1.4857256714283222, 2.7770672298662737, 0.6864806653437762, 1.0370114329387494, 3.6092002096476357, 2.108388958769445, 2.108388958769445, 4.65129123407422, 1.0864515146944345, -0.7065669045200912, 1.7928263625887175, 1.5917612195599478, 1.5358725378123539, 0.6864806653437762, 2.4633857801220076, 0.20658848392002963, -0.6116270708752134, -0.14436859089402776, 0.20658848392002963, 2.672887405471119, 2.982994925277253, 1.6201855446981366, -0.32463909518706024, 0.9922338316565521, 1.9239483068756345, 2.8230925750359965, 2.672887405471119, 1.7674145859772352, 2.1853870438983973, 2.6511218789658524, 2.5348895200383086, 2.6033603739161015, 2.6462001537351263, 2.39080031872368, 2.410386400957761, 1.129070065910072, 1.2532778373040476, 1.7979401445898808, -0.6538494582760392, -0.588289757045533, 2.5243974498895936, 1.9131993681073056, 1.9347440821263515, 2.490316768102475, 2.490316768102475, 2.4169496538023765, 2.5038928376867546, 2.4970955042051846, 2.490316768102475, 2.6295458950104784, 2.6295458950104784, 0.3708035010465226, 2.196990527253891, 0.17654562840622048, 2.6992720621283017, 2.011661059488051, 2.721402476979214, 2.608156180866364, 2.4617885031879343, 3.3566777136902357, 1.9784038286031003, 1.8444454484025015, 2.5038928376867546, 3.3375453676537417, 2.4970955042051846, 2.5556693886973276, 0.3910291358138397, 2.221162684837163, 0.19320942292457327, 2.4551019291586473, 0.5510120531287747, 1.4762487702763658, 0.8807433242044869, 0.4305336957074877, 2.2626118230139265, 3.423199539770304, 0.02481746015359271, 1.1020241062575495, 1.6147514157539873, 0.9889058630781301, 3.2331583710356835, 1.3880495195586888, 2.1421334655926394, 1.3880495195586888, 1.261390141388153, 3.5240019644020797, 1.9174953526348981, 1.7173598229556049, 1.8185014783618438, 3.153933491984418, 2.4209012203724165, 2.011661059488051, 2.204336866245063, 2.2938304361484705, 2.8530913384392584, 1.9099907360355912, -0.09880389888898722, -0.3300833194900464, 3.3455305125891632, 3.279849937498425, -0.5215052306800139, 0.884172816020773, -0.21709682719459755, 0.7180130535719199, -0.5215052306800139, 1.0391344167867969, 0.3740977312056285, 0.6034108665134591, -0.21709682719459755, -0.6218841071132685, 0.4815670530858735, 1.580429158356436, 0.24035509542055197, -0.3300833194900464, 0.3508257273679901, 0.9202131517450738, 0.9021285335197714, 0.9021285335197714, 0.4392269555905263, -0.025066639652526007, 0.8663441747278815, 3.215838379275232, -0.2629012981444725, -0.5215052306800139, -0.5621379905973013, -0.3520850008258538, -0.07446383997504605, 2.724429785769503, 1.4057953042836084, -0.5048333401809291, 0.2610440056474953, 0.4527159694969489, -0.3826356015103909, 1.265635102321648, -0.0, 1.5129526102557385, 2.0738168652722746, -0.7288211843777381, 1.117373931679571, -0.7745520230528947, 0.4114212385826975, -0.35273284974437197, 1.4812167957526448, 0.9347749061632714, 1.9020351512824898, 1.956213078079318, 2.3082980789051724, -2.2006541749815316, 2.1974117755600417, 2.2277271413937445, 3.543214362126415, 4.092532088413628, 3.9922531178517757, 2.781228189302804, 3.307789334787211, 3.7705457800494195, 3.2500970517055143, 3.860579720967376, 1.7663945464915844, 1.1242759811946026, 3.637498083389645, 2.42207459816457, 2.4888205953083427, 0.09944550153392237, -0.5240277767674199, -0.20993546063696608, 1.8392927745289849, 0.6685491505481842, 1.5930148999773897, 0.9395033064377765, 0.3559658358472554, 0.27441586673632457, -0.15017916641215062, 0.44323984666372357, -0.11097922445266997, 0.05206937699533318, -0.03583260397713198, 0.09449579179617595, 0.8899865748139538, 0.04419159246175532, 0.18981265253987348, 0.04944077248395447, 2.4937993035415147, 0.1430754886442678, 1.4397477336948823, 0.04681484612333111]"
2 acetyl-CoA(aq) = CoA(aq) + acetoacetyl-CoA(aq),2.0 [H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 = [H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 + [H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C(=O)C([H])([H])[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21,298.15,0.25,7.0,14.0,27.664525282481126,2.510758756941965,11,0.7570222487159664,reaction dg,24.66044276841343,2.6797280228653224,"[30.50094177884487, 21.162398092055994, 27.42296384960343, 26.007045663946897, 28.9913794849606, 27.227615593539287, 29.163978938743554, 29.163978938743554, 29.478946310050596, 27.311790035429137, 27.878739421374522]","[23.841778848422315, 19.17154758980105, 27.42296384960343, 24.016195161691954, 27.000528982705656, 27.55339535874585, 26.80736940157945, 26.80736940157945, 22.819783379628042, 23.35837247712814, 22.465566001662356]"
