,description,reaction,T,I,pH,pMg,standard_dg_prime,nontrans_standard_dg_prime,nontrans_stderr,stderr,n,SEM,ddG
32,keto-oxaloacetate(aq) = enol-oxaloacetate(aq),[H]OC(=O)C(=O)C([H])([H])C(=O)O[H] = [H]OC(=O)/C([H])=C(\O[H])C(=O)O[H],298.15,0.25,7.0,14.0,5.704291451398712,5.7049458449070105,,,1,,-4.6197838622803715
33,"D-fructose 1,6-bisphosphate(aq) + H2O(l) = D-fructose 6-phosphate(aq) + orthophosphate(aq)",[H]OC1(C([H])([H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-9.87561426457115,-9.810958123791332,4.42283010476473,4.8943306751305915,6,1.9981021310869087,-6.909154001445032
34,"urocanate(aq) + H2O(l) = 4,5-dihydro-4-oxo-5-imidazolepropanoate(aq)",[H]OC(=O)/C([H])=C(\[H])c1nc([H])n([H])c1[H] + [H]O[H] = [H]OC(=O)C([H])([H])C([H])([H])C1([H])C(=O)N=C([H])N1[H],298.15,0.25,7.0,14.0,-9.750833670428392,-9.919147096644162,1.2777873384187333,1.1331795327078138,5,0.5067732931692236,3.3147080262816075
35,pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq),[H]OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H] = [H]OP(=O)(O[H])O[H] + [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-15.990534581442693,-16.256034886257474,1.0031796499226278,1.0856741413598074,7,0.41034625469880487,5.952404537494203
36,GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC(=O)C([H])([H])C([H])([H])C(=O)O[H] + [H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OP(=O)(O[H])O[H] + [H]OC(=O)C([H])([H])C([H])([H])C(=O)SC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])N([H])C(=O)[C@]([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,0.04697951918450285,0.43220535967692153,1.0362976891491722,0.9528498161223716,38,0.15457265129555692,-8.54008435927085
37,N-glycolylneuraminate(aq) = N-glycolyl-D-mannosamine(aq) + pyruvate(aq),[H]OC(=O)C1(O[H])O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H])[C@]([H])(N([H])C(=O)C([H])([H])O[H])[C@@]([H])(O[H])C1([H])[H] = [H]OC([H])([H])C(=O)N([H])[C@]1([H])[C@@]([H])(O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OC(=O)C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,6.203730517276585,6.206110186649272,,,1,,-0.05717108427094786
38,isocitrate(aq) = cis-aconitate(aq) + H2O(l),[H]OC(=O)C([H])([H])C([H])(C(=O)O[H])C([H])(O[H])C(=O)O[H] = [H]OC(=O)/C([H])=C(\C(=O)O[H])C([H])([H])C(=O)O[H] + [H]O[H],298.15,0.25,7.0,14.0,1.7801977563991034,1.4371079927868387,0.45720892443765676,0.19882444280828335,3,0.11479134557683975,17.947359885643706
39,ATP(aq) + ADP(aq) = adenosine 5'-tetraphosphate(aq) + AMP(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,8.37022009545306,5.800618255520914,,,1,,16.550547959568803
40,indole-3-lactate(aq) + NAD(aq) = indole-3-pyruvate(aq) + NADH(aq),[H]OC(=O)C([H])(O[H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12 + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C(=O)C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12 + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,-14.856419551047306,-16.61285341647405,,,1,,43.64006308142643
41,reduced thioredoxin(aq) + NADP(aq) = oxidized thioredoxin(aq) + NADPH(aq),*C(=O)[C@@]([H])(N([H])C(=O)[C@@](*)([H])N([H])C(=O)[C@@](*)([H])N([H])C(=O)[C@@]([H])(N(*)[H])C([H])([H])S[H])C([H])([H])S[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = *C(=O)[C@@]1([H])N([H])C(=O)[C@@](*)([H])N([H])C(=O)[C@@](*)([H])N([H])C(=O)[C@@]([H])(N(*)[H])C([H])([H])SSC1([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,8.957453459084837,3.254298385839817,4.976795867296982,0.7257369009851211,3,0.41900439514460447,39.934571116329835
42,L-alanine(aq) + hydroxypyruvate(aq) = L-serine(aq) + pyruvate(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[H] + [H]OC(=O)C(=O)C([H])([H])O[H] = [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H] + [H]OC(=O)C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-4.42019322574379,-4.4701885192702795,0.6895380373973075,0.5271595860150253,8,0.18637905901935872,-2.6605032645412052
43,L-leucine(aq) + 2-oxoglutarate(aq) = 2-oxoisocaproate(aq) + L-glutamate(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H] + [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H] = [H]OC(=O)C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-1.9485513228751437,-1.8159848348708145,0.5284365140208327,0.3488511626584751,2,0.24667502274061903,-5.918188576715977
44,sedoheptulose 7-phosphate(aq) + D-glyceraldehyde 3-phosphate(aq) = D-erythrose 4-phosphate(aq) + D-fructose 6-phosphate(aq),[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]([H])(C([H])=O)C([H])([H])OP(=O)(O[H])O[H] = [H]O[C@@]([H])(C([H])=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,0.8512821927355647,0.7027459600575955,1.2789267306782115,1.231637920151185,4,0.6158189600755924,1.925011182393348
45,D-mannitol(aq) + NAD(aq) = D-fructose(aq) + NADH(aq),[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,9.551357502463537,5.092247939572692,4.038809928787325,3.8294655604580394,4,1.9147327802290197,39.935797975457035
46,ATP(aq) + L-citrulline(aq) + L-aspartate(aq) = AMP(aq) + diphosphate(aq) + L-arginosuccinate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H] + [H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] + [H]OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]N=C(N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H])N([H])[C@]([H])(C(=O)O[H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-2.014251879607535,-4.318996339043174,7.3984836332031385,2.1484024789533716,4,1.0742012394766858,19.22152636528699
47,L-threo-3-methylaspartate(aq) = L-glutamate(aq),[H]OC(=O)[C@@]([H])(N([H])[H])[C@@]([H])(C(=O)O[H])C([H])([H])[H] = [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-5.983360846268202,-5.971062332777909,,,1,,-3.438693075287688
48,N-acetyl-L-methionine(aq) + H2O(l) = acetate(aq) + L-methionine(aq),[H]OC(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])SC([H])([H])[H] + [H]O[H] = [H]OC(=O)C([H])([H])[H] + [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])SC([H])([H])[H],298.15,0.25,7.0,14.0,-3.194932426607758,-3.207617852524359,0.04800153691595017,0.04800153691595017,2,0.033942212260644755,36.810789756112115
49,2 reduced glutathione(aq) + NADP(aq) =  oxidized glutathione(aq) + NADPH(aq),2.0 [H]OC(=O)C([H])([H])N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H])C([H])([H])S[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C([H])([H])N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C(=O)O[H])N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,10.65936726996724,13.120095963123628,6.24174209262978,6.836110880255979,13,1.8959960233477078,34.615342752357265
50,L-arginine(aq) + glycine(aq) = L-ornithine(aq) + guanidinoacetate(aq),[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H] + [H]OC(=O)C([H])([H])N([H])[H] = [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H] + [H]N=C(N([H])[H])N([H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-0.3281916057179508,-0.2464393859272214,,,1,,-0.7066969950321038
51,2-oxo-3-deoxy-D-gluconate(aq) = pyruvate(aq) + D-glyceraldehyde(aq),[H]OC(=O)C(=O)C([H])([H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H] = [H]OC(=O)C(=O)C([H])([H])[H] + [H]OC([H])([H])[C@@]([H])(O[H])C([H])=O,298.15,0.25,7.0,14.0,18.30282002094093,18.3085470088421,,,1,,-0.11408712741877025
52,D-sorbitol 6-phosphate(aq) + NADP(aq) = D-glucose 6-phosphate(aq) + NADPH(aq),[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,14.30738404724232,3.6589380127998328,,,1,,42.71220563655311
53,xanthosine(aq) + orthophosphate(aq) = xanthine(aq) + D-ribose 1-phosphate(aq),[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c(=O)n([H])c32)[C@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])O[H] = [H]c1nc2c(c(=O)n([H])c(=O)n2[H])n1[H] + [H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,11.113210221170725,10.75758344080382,,,1,,8.156163428182083
54,ATP(aq) + CMP(aq) = ADP(aq) + CDP(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c([H])c(N([H])[H])nc2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c([H])c(N([H])[H])nc2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1.9857146434138713,0.0,,,1,,-12.49966165983858
55,ATP(aq) + pyruvate(aq) + H2O(l) = AMP(aq) + phosphoenolpyruvate(aq) + orthophosphate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC(=O)C(=O)C([H])([H])[H] + [H]O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] + [H]OC(=O)C(OP(=O)(O[H])O[H])=C([H])[H] + [H]OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-13.535416514770194,-10.610577027651178,,,1,,17.618015443729277
56,isocitrate(aq) = citrate(aq),[H]OC(=O)C([H])([H])C([H])(C(=O)O[H])C([H])(O[H])C(=O)O[H] = [H]OC(=O)C([H])([H])C(O[H])(C(=O)O[H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-7.982506446719702,-7.946812907886665,1.6389575116233814,1.6489999042330954,75,0.19041010772052894,0.2931839229327693
57,4-aminobutanoate(aq) + 2-oxoglutarate(aq) = 4-oxobutanoate(aq) + L-glutamate(aq),[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])N([H])[H] + [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H] = [H]OC(=O)C([H])([H])C([H])([H])C([H])=O + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,6.0946883670118375,5.985133433522929,2.3539163340341274,2.40623295782482,4,1.20311647891241,-3.4077615857069645
58,ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + *C(=O)N([H])[C@]([H])(C(=O)N(*)[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H] = [H]OP(=O)(O[H])OP(=O)(O[H])O[H] + *C(=O)N([H])[C@]([H])(C(=O)N(*)[H])C([H])([H])c1c([H])c([H])c(OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]([H])(n3c([H])nc4c(N([H])[H])nc([H])nc43)[C@]([H])(O[H])[C@]2([H])O[H])c([H])c1[H],298.15,0.25,7.0,14.0,-8.51584814017633,-7.308611382944376,1.5539059288344959,2.1623443585358473,14,0.5779108387046152,-26.3594411070153
59,guanine(aq) + 5-phospho--D-ribose 1-diphosphate(aq) = GMP(aq) + pyrophosphate(aq),[H]c1nc2c(=O)n([H])c(N([H])[H])nc2n1[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]1([H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] + [H]OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-28.81766434309697,-29.76847056251579,,,1,,2.8549947498890305
60,O-phospho-L-serine(aq) + 2-oxoglutarate(aq) = 3-phosphonooxypyruvate(aq) + L-glutamate(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])OP(=O)(O[H])O[H] + [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H] = [H]OC(=O)C(=O)C([H])([H])OP(=O)(O[H])O[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,9.754795059114493,9.349649420424477,,,1,,7.395997091977563
61,ATP(aq) + guanidinoacetate(aq) = ADP(aq) + phosphoguanidinoacetate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]N=C(N([H])[H])N([H])C([H])([H])C(=O)O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]N=C(N([H])C([H])([H])C(=O)O[H])N([H])P(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-6.9536293024422235,-8.622723665185859,,,1,,6.744652321323258
62,L-phenylalanine(aq) = trans-cinnamate(aq) + ammonia(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H] = [H]OC(=O)/C([H])=C(\[H])c1c([H])c([H])c([H])c([H])c1[H] + [H]N([H])[H],298.15,0.25,7.0,14.0,-3.9982634436148135,-3.910116600141797,1.0217302898648681,1.1529159909165902,28,0.21788064246535002,-16.10720406976108
63,thymidine(aq) + adenine(aq) = 2'-deoxyadenosine(aq) + thymine(aq),[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(C([H])([H])[H])c(=O)n([H])c2=O)C([H])([H])[C@]1([H])O[H] + [H]c1nc(N([H])[H])c2nc([H])n([H])c2n1 = [H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)C([H])([H])[C@]1([H])O[H] + [H]c1c(C([H])([H])[H])c(=O)n([H])c(=O)n1[H],298.15,0.25,7.0,14.0,-6.991851720004499,-6.996708996555137,,,1,,-0.006781174348532204
64,benzyl alcohol(aq) + NAD(aq) = benzaldehyde(aq) + NADH(aq),[H]OC([H])([H])c1c([H])c([H])c([H])c([H])c1[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]C(=O)c1c([H])c([H])c([H])c([H])c1[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,20.072968019840815,10.519562076113912,4.64495948156506,0.1643049207124678,6,0.06707720299566554,39.93450058719213
65,"5,10-methylenetetrahydrofolate(aq) + glycine(aq) + H2O(l) = tetrahydrofolate(aq) + L-serine(aq)",[H]OC(=O)C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N2C([H])([H])N3c4c(nc(N([H])[H])n([H])c4=O)N([H])C([H])([H])[C@]3([H])C2([H])[H])c([H])c1[H] + [H]OC(=O)C([H])([H])N([H])[H] + [H]O[H] = [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N([H])C([H])([H])[C@]2([H])N([H])c3c(nc(N([H])[H])n([H])c3=O)N([H])C2([H])[H])c([H])c1[H] + [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,6.074790240255592,6.083409928143461,0.7496939486761273,0.7361178875249186,4,0.3680589437624593,-1.2939691805237032
66,maltotetraose(aq) + H2O(l) = 2 maltose(aq),[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]3([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]4([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]4([H])O[H])[C@]([H])(O[H])[C@@]3([H])O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]O[H] = 2.0 [H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-14.646819207391673,-14.646821003706208,,,1,,0.00010711421327869175
